id,indiff,outdiff,pro,weight
173,0x0000000000000070,0x0100000000010101,8,4
174,0x0000000000000070,0x0000000001010101,8,4
175,0x0000000000000070,0x0001000001000101,8,4
176,0x00000000000000f0,0x0101000000000101,8,4
177,0x00000000000000f0,0x0100000000010101,8,4
178,0x00000000000000f0,0x0000000001010101,8,4
179,0x00000000000000f0,0x0001000001000101,8,4
180,0x000000000000000b,0x0088000000000088,8,4
181,0x000000000000000b,0x0080000000080088,8,4
182,0x000000000000000b,0x0008000000800088,8,4
183,0x000000000000000b,0x0000000000880088,8,4
184,0x0000000000000007,0x0000000000110011,8,4
185,0x0000000000000007,0x0001000000100011,8,4
186,0x0000000000000007,0x0010000000010011,8,4
187,0x0000000000000007,0x0011000000000011,8,4
188,0x000000000000000f,0x0010000000010011,8,4
189,0x000000000000000f,0x0011000000000011,8,4
190,0x000000000000000f,0x0000000000110011,8,4
191,0x000000000000000f,0x0001000000100011,8,4
192,0x000000000000000d,0x0002000000200022,8,4
193,0x000000000000000d,0x0000000000220022,8,4
194,0x000000000000000d,0x0022000000000022,8,4
195,0x000000000000000d,0x0020000000020022,8,4
196,0x000000000000000d,0x2002000000002002,8,4
197,0x000000000000000d,0x2000000000022002,8,4
198,0x000000000000000d,0x0002000020002002,8,4
199,0x000000000000000d,0x0000000020022002,8,4
